education_id,EdLevel,candidate_id
622,Undergraduate,622
623,Undergraduate,623
624,Undergraduate,624
625,Other,625
626,Master,626
627,Undergraduate,627
628,Master,628
629,Undergraduate,629
630,Undergraduate,630
631,NoHigherEd,631
632,NoHigherEd,632
633,Other,633
634,PhD,634
635,Undergraduate,635
636,Master,636
637,Undergraduate,637
638,Undergraduate,638
639,Master,639
640,Master,640
641,Master,641
642,Master,642
643,PhD,643
644,Undergraduate,644
645,Other,645
646,Master,646
647,Undergraduate,647
648,Master,648
649,Master,649
650,Undergraduate,650
651,Other,651
652,Other,652
653,Other,653
654,Undergraduate,654
655,Undergraduate,655
656,NoHigherEd,656
657,Master,657
658,Undergraduate,658
659,Other,659
660,Other,660
661,Other,661
662,NoHigherEd,662
663,Undergraduate,663
664,Other,664
665,Master,665
666,Other,666
667,Master,667
668,Master,668
669,Undergraduate,669
670,Master,670
671,Undergraduate,671
672,Undergraduate,672
673,Undergraduate,673
674,Other,674
675,Undergraduate,675
676,Master,676
677,Master,677
678,Undergraduate,678
679,Undergraduate,679
680,Undergraduate,680
681,Undergraduate,681
682,Other,682
683,Undergraduate,683
684,Undergraduate,684
685,Undergraduate,685
686,Undergraduate,686
687,Undergraduate,687
688,Master,688
689,Undergraduate,689
690,Undergraduate,690
691,PhD,691
692,Undergraduate,692
693,Master,693
694,Master,694
695,Undergraduate,695
696,Master,696
697,Undergraduate,697
698,Undergraduate,698
699,Master,699
700,Undergraduate,700
701,Undergraduate,701
702,Undergraduate,702
703,PhD,703
704,Other,704
705,Undergraduate,705
706,Undergraduate,706
707,Undergraduate,707
708,Master,708
709,Undergraduate,709
710,Undergraduate,710
711,Undergraduate,711
712,Other,712
713,Undergraduate,713
714,Undergraduate,714
715,Other,715
716,Undergraduate,716
717,Master,717
718,Master,718
719,Undergraduate,719
720,NoHigherEd,720
721,Master,721
722,Undergraduate,722
723,Undergraduate,723
724,Master,724
725,PhD,725
726,Undergraduate,726
727,Master,727
728,Other,728
729,Other,729
730,Undergraduate,730
731,Other,731
732,Master,732
733,Undergraduate,733
734,Undergraduate,734
735,Undergraduate,735
736,Undergraduate,736
737,Other,737
738,Undergraduate,738
739,Other,739
740,Master,740
741,Master,741
742,Undergraduate,742
743,Master,743
